log_date,value
2018/6/1,257488
2018/6/2,286612
2018/6/3,287405
2018/6/4,246955
2018/6/5,249926
2018/6/6,252951
2018/6/7,255467
2018/6/8,262498
2018/6/9,288368
2018/6/10,288440
2018/6/11,255447
2018/6/12,251316
2018/6/13,251654
2018/6/14,250515
2018/6/15,262155
2018/6/16,288844
2018/6/17,296143
2018/6/18,298142
2018/6/19,264124
2018/6/20,262992
2018/6/21,263549
2018/6/22,271631
2018/6/23,296452
2018/6/24,296986
2018/6/25,271197
2018/6/26,270546
2018/6/27,271208
2018/6/28,275496
2018/6/29,284218
2018/6/30,307498
2018/7/1,316097
2018/7/2,295106
2018/7/3,290675
2018/7/4,292231
2018/7/5,297510
2018/7/6,298839
2018/7/7,302083
2018/7/8,301238
2018/7/9,296398
2018/7/10,300986
2018/7/11,301459
2018/7/12,299865
2018/7/13,289830
2018/7/14,297501
2018/7/15,297443
2018/7/16,293097
2018/7/17,293866
2018/7/18,292902
2018/7/19,292368
2018/7/20,290766
2018/7/21,294669
2018/7/22,295811
2018/7/23,297514
2018/7/24,297392
2018/7/25,298957
2018/7/26,298101
2018/7/27,298740
2018/7/28,304086
2018/7/29,305269
2018/7/30,304827
2018/7/31,299689
2018/8/1,300526
2018/8/2,59321
2018/8/3,31731
2018/8/4,36838
2018/8/5,42043
2018/8/6,42366
2018/8/7,37209
